Percentage of charging events,residential,shopping,workplace,highway
0,99.9,99.8,95.7,100.0
1,73.4,63.6,48.2,99.0
2,68.0979999999996,56.0,41.0,97.0
3,64.4,50.4,37.0,96.0
4,61.7,45.6,34.1,94.0
5,59.6,41.6,31.9,93.0
6,57.7,38.3,30.3,91.0
7,56.0,35.3,29.1,90.0
8,54.4,32.9,28.0,89.0
9,52.9,30.8,27.0,88.0
10,51.4,29.0,26.1,87.0
11,50.1,27.4,25.3,85.6
12,48.9,26.0,24.5,84.2
13,47.7,24.6,23.7,82.8
14,46.7,23.4,23.0,81.4
15,45.6,22.2,22.3,80.0
16,44.5,21.1,21.6,79.0
17,43.4,20.0,21.0,78.0
18,42.5,19.0,20.3,77.0
19,41.4,18.1,19.8,76.0
20,40.4,17.2,19.2,75.0
21,39.4,16.4,18.7,74.0
22,38.4,15.6,18.1,73.0
23,37.4,15.0,17.6,72.0
24,36.6,14.3,17.1,71.0
25,35.8,13.8,16.7,70.0
26,34.9,13.2,16.2,69.0
27,34.1,12.7,15.7,68.0
28,33.3719999999998,12.2,15.3,67.0
29,32.6,11.7,14.9,66.0
30,31.9,11.3,14.4,65.0
31,31.1,10.8,14.1,64.0
32,30.3,10.4,13.7,63.0
33,29.6,10.0,13.3,62.0
34,28.9,9.7,12.9,61.0
35,28.2,9.5,12.6,60.0
36,27.5,9.3,12.3,59.0
37,26.9,9.1,11.9,58.0
38,26.2,8.9,11.6,57.0
39,25.6,8.8,11.3,56.0
40,24.9,8.6,10.9,55.0
41,24.3,8.5,10.5,54.5
42,23.7,8.3,10.1,54.0
43,23.2,8.2,9.8,53.5
44,22.6,8.0,9.7,53.0
45,22.1,7.9,9.5,52.5
46,21.5,7.7,9.4,52.0
47,21.0,7.6,9.2,51.5
48,20.4,7.5,9.1,51.0
49,19.9,7.3,9.0,50.5
50,19.4,7.2,8.8,50.0
51,18.9,7.1,8.7,49.0
52,18.5,7.0,8.6,48.0
53,18.0,6.9,8.5,47.0
54,17.6,6.8,8.3,46.0
55,17.1,6.7,8.2,45.0
56,16.6,6.6,8.0,44.0
57,16.1,6.5,7.9,43.0
58,15.6,6.4,7.7,42.0
59,15.1,6.3,7.6,41.0
60,14.6,6.2,7.4,40.0
61,14.2,6.1,7.3,39.0
62,13.7,6.0,7.1,38.0
63,13.2,5.9,7.0,37.0
64,12.8,5.8,6.9,36.0
65,12.3,5.6,6.8,35.0
66,11.9,5.5,6.6,34.0
67,11.5,5.3,6.5,33.0
68,11.0,5.2,6.4,32.0
69,10.6,5.1,6.3,31.0
70,10.1,4.9,6.2,30.0
71,9.7,4.8,6.0,29.0
72,9.3,4.6,5.9,28.0
73,8.9,4.5,5.8,27.0
74,8.5,4.3,5.6,26.0
75,8.2,4.2,5.4,25.0
76,7.8,4.0,5.3,24.0
77,7.5,3.9,5.1,23.0
78,7.2,3.7,5.0,22.0
79,6.9,3.5,4.8,21.0
80,6.6,3.4,4.7,20.0
81,6.3,3.2,4.5,19.0
82,5.9,3.0,4.3,18.0
83,5.6,2.8,4.2,17.0
84,5.3,2.7,4.0,16.0
85,5.0,2.5,3.8,15.0
86,4.6,2.4,3.6,14.0
87,4.3,2.2,3.3,13.0
88,4.0,2.0,3.1,12.0
89,3.6,1.8,2.8,11.0
90,3.3,1.6,2.7,10.0
91,2.9,1.5,2.6,9.0
92,2.6,1.3,2.4,8.0
93,2.2,1.1,2.1,7.0
94,2.0,0.8,1.8,6.0
95,1.8,0.6,1.4,5.0
96,1.5,0.4,1.0,4.0
97,1.3,0.0,0.5,3.0
98,1.0,0.0,0.2,2.0
99,0.6,0.0,0.0,1.0
100,0.0,0.0,0.0,0.0
